,StationId,RainStationName,Latitude,Longitude
0,1,ASSEGAAIBOS,-33.94175,19.06605
1,2,KOGEL_BAAI,-34.17972,18.85138
2,3,BERGDUMP,-33.43761,19.57023
3,4,CERES,-33.36261,19.27439
4,5,HAWEQWAS,-33.83472,19.25083
5,6,HIGGOVALE,-33.93758,18.41186
6,7,JONKERSHOEK,-33.91251,18.94388
7,8,KWAGGASKLOOF,-33.76092,19.47412
8,9,STEENBRAS LOWER,-34.180527,18.866688
9,10,NEWLAND,-33.96674,18.44936
10,11,TAFELBERG,-33.97924,18.40353
11,12,THEEWATERSKLOOF,-34.07591,19.29189
12,13,VOLELVLEI,-33.34178,19.04105
13,14,ZACHARIASHOEK,-33.822031,19.05911
